,hash,author,date,commit_message,is_merge,codebase_size,lines,all_lines,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
0,aae05da1b387fe9ebcb08d21a4a98b42307c1aec,代码家,2013-06-07 02:41:11+00:00,Initial commit,False,39,39,39,39,0,,,
1,7c81952d6cdf4dee91ba2fbf21bd0d08f04faaa8,xuanqinanhai,2013-06-08 06:22:31+00:00,init bae version,False,7338,7299,7338,7299,0,0.706944096264728,0.7548257708698922,0.7350213085986462
2,787bd8924d860361887776576ef2c847cec7905e,xuanqinanhai,2013-06-08 06:22:50+00:00,init local version,False,14618,7280,14618,7280,0,0.706944096264728,0.7548257708698922,0.7350213085986462
3,300eedff23c38c8eb99379fcaea564689d6a1426,xuanqinanhai,2013-06-08 06:33:03+00:00,change links,False,14632,26,14644,20,6,,,
4,25822ba3787c376d62c5493940e2a51d02258c29,xuanqinanhai,2013-06-08 06:36:55+00:00,add readme content,False,14677,49,14693,47,2,,,
5,24cc91b796fb76230fc7daddbce146f1a9b17595,xuanqinanhai,2013-06-08 06:41:41+00:00,add demo in readme,False,14694,17,14710,17,0,,,
6,9276b59bf9a886f3a0d1b7da5ea5ef2ed44599c9,mygoare,2013-07-25 05:28:52+00:00,fox markdown link error,False,14694,2,14712,1,1,,,
7,5f3c7552d907c2db61dac79fcb73cf7ce966cff3,代码家,2013-07-25 06:26:50+00:00,"Merge pull request #1 from mygoare/master

fix markdown link error",True,14694,2,14714,1,1,,,
8,1a906e1d47345f1f925eff3f1c3e7d5cf78d8907,xuanqinanhai,2013-08-04 11:00:24+00:00,应对百度改版更新,False,14707,29,14743,21,8,1.0,1.0,0.4
9,fa7eea23b33d74eff5a41007908c24a4096b8d04,xuanqinanhai,2013-08-04 11:01:01+00:00,Merge branch 'master' of github.com:xuanqinanhai/bleed-baidu-white,True,14707,2,14745,1,1,,,
10,7f1b99bbde9b5196b2d2537fe56848bfe723e3ab,xuanqinanhai,2013-08-04 11:04:24+00:00,添加百度更新,False,14707,14,14759,7,7,,,
11,b90d3537880c6d3a9540aefcb05521b4008635d4,xuanqinanhai,2013-08-15 02:47:59+00:00,添加新的请求方式，支持直接URL传入,False,599,14312,29071,102,14210,0.2870546468872829,0.24800304298212247,0.2684163813870927
12,c7ab39f879b8045e13dbe5a8f70a5e457be0fe82,xuanqinanhai,2013-08-15 02:53:15+00:00,修改宣传页面,False,656,59,29130,58,1,,,
13,b33433fd048f1329fae4dc00844304c0b623da57,xuanqinanhai,2013-08-15 02:57:43+00:00,修改错误的超链接,False,611,49,29179,2,47,,,
14,d9d7b987688182d5452d0f792471f3887dcdc5d9,xuanqinanhai,2013-08-15 03:02:05+00:00,添加新的请求方式，支持直接传入分享链接的URL,False,623,20,29199,16,4,,,
15,bc82e6c18089289f8f12017812407489756b8c9f,xuanqinanhai,2013-08-22 11:16:06+00:00,开始支持yun.baidu.com的分享链接格式,False,618,17,29216,6,11,,,
16,70e829cc02104fcc556611fb4e7ccae2bb4c1b04,daimajia,2013-08-31 11:52:49+00:00,百度改版，更新。,False,656,74,29290,56,18,0.0,1.0,1.0
17,c519863ba22f61e667aec85976c13401f8ae4aaf,daimajia,2013-08-31 11:59:37+00:00,修改Twitter地址,False,656,2,29292,1,1,,,
18,e2bd7729a7d43fc03585481b956d6b1c539cc657,代码家,2013-11-22 08:59:19+00:00,更新百度方法，适应最新的变化,False,639,27,29319,5,22,,,
19,5453b638a9332dbfa074278be1efe122c47ede56,daimajia,2014-03-16 14:53:04+00:00,添加文件属性,False,640,3,29322,2,1,,,
20,2f4b164e04b4519247c9272a83164b6cbbf6841c,daimajia,2014-03-16 15:45:19+00:00,添加项目链接,False,644,6,29328,5,1,,,
21,8bfe8d9a2ce375e310a6a718fea6bc8cb04ff6b9,daimajia,2014-03-22 08:12:22+00:00,新增两种链接类型,False,653,11,29339,10,1,,,
22,53b09f9a80d251aff06286cfad6e4ea44a30f58b,daimajia,2014-04-23 03:46:26+00:00,修复失效演示链接,False,653,8,29347,4,4,,,
23,8a90af34f1227e1e58f466a2a9840e6bf2d8b5c5,daimajia,2014-04-28 01:25:57+00:00,取消失效链接,False,654,7,29354,4,3,,,
